year,week_num,SKU,ret_net_1_price,ret_net_2_price,ret_net_3_price
2019,1,10121,2945.6813423553886,2965.7437965419736,2917.3948295426635
2019,1,10290,949.466059732934,942.3012915454599,962.7990091396118
2019,1,10973,3751.515021608404,3735.814980956352,3709.5865395549245
2019,1,11179,3717.0423061830415,3638.7990824931007,3695.090121132751
2019,1,11680,1378.7976687901225,1325.251311564811,1363.7074885618572
2019,1,11700,2233.1055695177106,2187.067956215003,2239.3062404700004
2019,1,13859,1402.264265047518,1399.8256745198275,1387.2086265033265
2019,1,13979,297.7721416168091,299.9465536201816,294.61991788965116
2019,1,14554,4418.781936548606,4507.843083600079,4471.366821673703
2019,1,15143,710.3400776909166,707.4986322517641,691.2988087719636
2019,1,15475,3028.634051468719,3024.7180833730013,3017.846141964542
2019,1,15499,3236.634448255587,3219.455479435763,3180.6357348517204
2019,1,15577,4157.885951694669,4225.161175256322,4198.401686765489
2019,1,15646,4270.6317150423665,4446.265059090949,4265.611811917335
2019,1,15806,1611.2072530166286,1586.7823675053182,1615.117823295199
2019,1,15834,1741.6121487435419,1764.8429293933268,1712.2909710036179
2019,1,15845,3578.5952484728414,3576.1625879755516,3578.631534668092
2019,1,15850,3588.991598681574,3556.588548591362,3597.5055825471604
2019,1,15905,3731.9622212977756,3704.6449969445043,3631.650291190935
2019,1,15955,3598.6974961858555,3565.744059610023,3518.7404118870795
2019,1,15993,1604.1834725790761,1576.4989198272513,1578.8318907735602
2019,1,16496,2489.667381263139,2530.4751605554934,2525.2149667473454
2019,1,16542,337.76698058857266,333.9316085656427,335.7011796501153
2019,1,16700,2633.555006513161,2687.790175327267,2640.0726882876916
2019,1,16805,1921.9395858977632,1939.1098207816972,1902.6379965432664
2019,1,17406,3231.2305257215003,3297.460398320261,3233.581825688896
2019,1,17657,283.859101942556,284.8140209553032,288.948571116226
2019,1,18139,462.66744472401183,441.6781481970377,460.56439708415684
2019,1,18377,2836.2556257764472,2879.401376744344,2828.112923832992
2019,1,18966,808.6002965931036,800.5706390264091,796.3478542004481
2019,1,19480,1359.5693402776792,1357.0988862142763,1358.1104355480759
2019,1,19703,3853.5390973556937,3846.4383922602406,3772.6509222022587
2019,1,19757,3162.0236012112177,3125.2854839660267,3178.9170046917975
2019,1,19763,281.7500073090217,277.70137249725366,278.8224340813491
2019,1,19990,3766.594626928481,3752.8488225573165,3700.79800930659
2019,1,20427,458.3101642472793,455.55368544520366,450.6977667095047
2019,1,21041,4077.212418542798,4021.6059133010544,4060.4513001897035
2019,1,21070,570.84593063541,569.9452765360891,572.3215669660874
2019,1,21147,3370.5859676703794,3434.0880770714152,3392.1670651329123
2019,1,21231,661.2973460481276,657.7059741716743,641.5893363929554
2019,1,21233,4518.400358980432,4644.078651210283,4405.264172985574
2019,1,21354,1120.7555315593822,1118.7196701593061,1106.823727491907
2019,1,21516,214.4546340541168,218.2092621815586,213.65880396530537
2019,1,22108,1627.446157297998,1608.3148059458213,1624.9851076451637
2019,1,22272,3819.6737408390422,3937.1006837674167,3775.833491872023
2019,1,22579,3353.5564686567436,3361.765066665048,3344.0290199983583
2019,1,23198,3274.4070136771124,3302.882279239657,3218.1913992650243
2019,1,23226,3384.52781233116,3282.3700876315115,3411.208923483803
2019,1,23324,4525.5443198484145,4486.26740772934,4555.645821473926
2019,1,23497,2046.4147406596796,2016.2823596490296,2046.2153931663727
2019,1,23502,3185.258539322323,3296.878337418497,3199.5244685098714
2019,1,23806,365.42861570265376,361.2343985462525,358.6064934241839
2019,1,24525,1947.3186540591516,1862.0866448971824,1926.7224526586374
2019,1,24595,1460.8551067883402,1482.3190581983354,1448.044583205574
2019,1,24626,1483.861896563392,1469.9978052208596,1489.9316779025746
2019,1,24641,3420.8147954771316,3443.394696638479,3459.173811370516
2019,1,25605,2263.0058724208952,2280.5595335898424,2304.674917323123
2019,1,25684,2292.0967546935417,2254.504417933616,2242.0677395488415
2019,1,26244,2265.753742308029,2311.830343544324,2237.64734632352
2019,1,26331,1134.1627544625098,1147.263656851015,1134.0139223956849
2019,1,26541,1754.1117867902674,1731.1426245741009,1717.5573548946234
2019,1,26616,502.72144759148193,491.7148091525415,501.151680081264
2019,1,26756,4393.363947563965,4242.629588615448,4306.971556382099
2019,1,26890,830.9873444960755,829.415882385431,826.957093003165
2019,1,27029,3728.0675413596005,3755.3735284158306,3665.963512465903
2019,1,27071,1796.621046643039,1789.557637927033,1767.228300460869
2019,1,27417,3023.7386991744934,3001.098605987366,2999.5872148453077
2019,1,27447,1722.7839103720728,1736.5039639459442,1720.1236992118609
2019,1,27450,4143.339146771179,4050.3600802626734,4071.8780007261084
2019,1,27469,1228.1640868372967,1246.3349235282717,1226.1635051353155
2019,1,27720,2549.5353028962368,2512.772916693316,2582.861380288276
2019,1,28145,834.9859295413368,847.792296711024,845.005790493854
2019,1,28770,3938.2818732734495,3915.655878108731,3888.7699082558843
